연월일,과목,문제번호,문제내용,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설
20250910,일반,1,다음 중 FATF에 대한 설명으로 바르지 않은 것은?,,"UN 협약 및 UNSCR과 관련된 금융조치의 이행을 위한 행동기구로서 G7정상회담의 합의로 설립되었다.","FATF는 자금세탁과 테러자금조달에 공동대응하기 위한 국제기준을 마련하고 각 국의 이행상황을 점검하고 있다.","FATF 운영위원회(Steering Group)은 각국의 이행상황을 점검하고 고위험_ 비협조 국가를 가려내는 역할을 하고 있다.","FATF의 최고 의사기구는 총회(Plenary)로 일반적으로 연 3회(2월_ 6월_ 10월) 개최된다.","FATF는 최초 마약자금만을 관할 범위로 하였지만_ 이후 중대범죄_ 테러자금조달_ 확산금융 등으로 관할 범위를 확대해 나가고 있다.","3","[FATF 조직 중 5개 working group의 하나인 ICRG가 고위험_ 비협조 국가를 가려내고 전략적 미비점을 지적하는 제재 역할을 담당하고 있다. 출제원 : 제도편 27~29페이지]"
20250910,일반,2,다음이 설명하는 용어는?,[IT 기술의 발달에 따라 디지털 자산이 자금세탁의 주요 통로가 되면서 FATF 는 이 분야에 대해 연구하고 관련된 가이던스를 제시하고 있다. 디지털 자산에 대한 다양한 용어로 인한 연구자 및 정책자의 혼선을 막고자 용어를 통일하여 정의하게 되었다.],Virtual Asset,Cryptocurrency,Visual Currency,Virtual Currency,Fiat Currency,1,[FATF는 Currency라는 용어가 Fiat currency(법정통화)와 혼선을 줄 가능성을 고려하여 Currency 라는 용어를 피하고 Virtual Asset이라는 용어로 통일하여 사용하고 있다. 출제원 : 제도편 191페이지]
20250910,일반,3,다음 중 특정금융정보법 시행령 17조(과태료부과기준) 및 별표상의 위반행위와 6_000만원을 기준으로 하여 감경 또는 가증한 과태료가 부과될 수 있다.,,STR 미보고 : 1_800만원,CTR 회피 분할 미보고 : 900만원,CDD의무(신규_ 일회성) 미수행 : 건당 1_800만원,CDD의무(의심고객) 미수행 : 3_600만원,내부통제 미비 : 6_000만원,4,[금융회사등이 법 제5조의2제1항제2호(의심고객)의 의무를 위반할 경우 6_000만원을 기준으로 하여 감경 또는 가증한 과태료가 부과될 수 있다. 출제원 : 제도편 265페이지]
20250910,일반,4,다음 <보기>가 설명하는 개념은?,[자금세탁에 대한 불법거래를 조장할 수 있으면서도 이를 차단할 수도 있는 이중적 잠재성을 가진 민간부문의 중개인],심층분석가,게이트키퍼,법집행전문가,전문중개인,위험예방전문가,2,[게이트키퍼의 잠재성을 활용하여 자금세탁방지의 효율성을 높일 수 있다. 출제원 : 제도편 236페이지]
20250910,일반,5,자금세탁은 다른 범죄와 구분되는 특징들을 갖고 있는데_ 다음 중 자금세탁 범죄의 특징이 아닌 것은?,,"자금세탁은 일반적으로 한 국가 내에서 이뤄지는 것이 아니라_ 해외송금_ 무역거래_ 전자지갑 등을 이용하여 2개 국가 이상을 넘나들며 이뤄진다.","금융회사뿐만 아니라_ 변호사_ 세무사 등 비금융 사업자들 또한 자금세탁 범죄에 노출되어 있다는 특성이 있다.","자금세탁은 자금의 실제소유자에 의해 직접적으로 단독으로 실행되는 케이스가 많기에 발견이 어렵다.","자금세탁은 그 범죄 자체뿐만 아니라 마약_ 인신매매_ 성매매 등 각종 중범죄와 연결되어 있다는 점에서 심각성을 갖는다.","자금세탁은 그 범죄 자체뿐만 아니라 마약_ 인신매매_ 성매매 등 각종 중범죄와 연결되어 있다는 점에서 심각성을 갖는다.","3","[자금세탁이 실제소유자에 의해 이뤄지는 경우는 드물고_ 범죄조직에 의해 이뤄지는 경우가 많다. 출제원 : 제도편 5~6페이지]"
20250910,일반,6,유럽연합의 암호자산시장에 관한 법률(MiCA)과 거리가 먼 것은?,,"암호자산을 크게 세가지로 구분하고 차등한 규제를 적용한다.","MiCA의 시장남용에 대한 규칙은 거래플랫폼에서 이뤄진 거래에만 적용된다.","MiCA는 VASP 용어 대신 CASP의 용어를 사용하고 있다.","MiCA는 암호자산서비스들이 EU AML Directive의 기준에 맞다면 [금융서비스]로 간주하도록 한다.","MiCA는 회원국 주무당국_ ESMA 및 EBA의 암호자산 시장에 대한 권한을 정하고 상호간의 협력도 규정하고 있다.","2","[거래_ 주문 등의 행위가 거래플랫폼에서 발생하였는지 여부와 관계없이 적용한다. 출제원 : 제도편 200페이지]"
20250910,일반,7,FATF권고사항 40의 핵심조치사항이 아닌 것은?,,"위험의 확인_ 정책개발과 국내적 조정(Coordination)의 수행","사기방지_ 반부패_ 포렌식을 통한 개인정보 추적","금융부문과 다른 지정된 분야를 위한 예방조치 적용","권한당국(법집행기관)과 조치기구들의 권한과 책임을 정립","국제협력의 추진","2","[2는 포함되지 않는다 출제원 : 제도편 31~55페이지]"
20250910,일반,8,FATF는 권고사항이 충분이 이행되었는지(Implemented) 뿐만 아니라 실질적으로 AML/CFT 제도의 이행을 하고 있는지_ 기대되는 성과(를 달성하고 있는지도 고려하고 있다. 이러한 효과성 평가를 표현하는 FATF의 용어는?,,"Immediate Outcome","Interpretative note","FATF Recommendation","Risk-based Approach","Mutual assessment","1","[효과성 평가로 번역되는 FATF의 Immediate Outcome은 총 11개로 권고사항을 이행하는 것 뿐만 아니라_ 실제로 성과를 달성하고 있는지 보여주는 것이다. 출제원 : 제도편 80페이지]"
20250910,일반,9,다음이 설명하고 있는 [이 범죄]는?,[이 범죄로 정립되지 않은 범죄는 불법자금세탁행위로 처벌할 수 없다. 1990년대 이전까지는 주로 마약류 범죄만을 이 범죄로 규정하였으나 점차 그 범죄의 범위가 확대되고 있다.],금융범죄(Financial offence),중대범죄(Serious offence),배치범죄(Placement offence),국제범죄(International offence),전제범죄(Predicate offence),5,[자금세탁행위가 되기 위해서는 전제범죄가 전제되어야 한다. 출제원 : 제도편 7페이지]
20250910,일반,10,유럽연합(EU) 제4차 AML Directives의 내용이 아닌 것은?,,"의심거래보고 현금기준을 10_000유로로 강화","범죄행위에 ‘직접 및 간접세와 관련된 조세범죄 포함’","익명계좌 유지와 통장보관을 금지하고 기존의 익명계좌 소유자 및 수익자에 대한 고객확인 실시","실제소유자의 중앙등록부서 관리","강화된 고객확인(EDD)의 면제조항 삭제","3","[익명계좌 유지 금지는 제3차 AML Directive에 적용되었다. 출제원 : 제도편 103~104페이지]"
